date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_MANSetpt_iSelInput
20.09.2015,10:13:55.5116376,0.960539025,0.512081077,1.000248952,0.364386624,1
20.09.2015,10:13:55.5165686,0.955939876,0.512105411,1.000082917,0.379972055,1
20.09.2015,10:13:55.5212986,0.956017447,0.512156981,1.000248952,0.370072971,1
20.09.2015,10:13:55.5260314,0.956744792,0.512156981,1.000138262,0.370072971,1
20.09.2015,10:13:55.5309426,0.95184983,0.512100149,1.000138262,0.366569085,1
20.09.2015,10:13:55.5357658,0.959243063,0.512120018,1.000138262,0.365799425,1
20.09.2015,10:13:55.5405114,0.954388341,0.512013576,1.000082917,0.381427668,1
20.09.2015,10:13:55.5453498,0.962331065,0.512013576,1.000193607,0.381427668,1
20.09.2015,10:13:55.5500718,0.956764779,0.511994632,1.000027572,0.365718593,1
20.09.2015,10:13:55.5549648,0.963165819,0.511917803,1.000248952,0.369602038,1
20.09.2015,10:13:55.5597040,0.961157267,0.511917803,1.000082917,0.369602038,1
20.09.2015,10:13:55.5645370,0.95689861,0.512015825,1.000193607,0.369370085,1
20.09.2015,10:13:55.5693064,0.960650082,0.51202501,1.000138262,0.379073,1
20.09.2015,10:13:55.5740996,0.950767809,0.512116573,1.000138262,0.368400103,1
20.09.2015,10:13:55.5788992,0.959533511,0.512116573,1.000193607,0.368400103,1
20.09.2015,10:13:55.5837348,0.95484359,0.512022905,1.000082917,0.36780265,1
20.09.2015,10:13:55.5885258,0.961082895,0.512055818,1.000248952,0.366273873,1
20.09.2015,10:13:55.5932602,0.956403817,0.512055818,1.000082917,0.366273873,1
20.09.2015,10:13:55.5981308,0.96094004,0.511947495,1.000248952,0.380011299,1
20.09.2015,10:13:55.6029424,0.959446253,0.512033796,1.000082917,0.36893781,1
20.09.2015,10:13:55.6077104,0.954914702,0.511986436,1.000193607,0.3669381,1
20.09.2015,10:13:55.6125720,0.962187238,0.511986436,1.000193607,0.3669381,1
20.09.2015,10:13:55.6172416,0.953865661,0.512026349,1.000138262,0.368958897,1
20.09.2015,10:13:55.6221394,0.965574834,0.51187907,1.000248952,0.382365967,1
20.09.2015,10:13:55.6268422,0.959113201,0.511889594,1.000082917,0.365381207,1
20.09.2015,10:13:55.6317820,0.964295644,0.511889594,1.000304296,0.365381207,1
20.09.2015,10:13:55.6364282,0.962963228,0.511843287,1.000082917,0.369036214,1
20.09.2015,10:13:55.6413246,0.96022535,0.511917947,1.000248952,0.369742615,1
20.09.2015,10:13:55.6460244,0.963231616,0.511917947,1.000193607,0.369742615,1
20.09.2015,10:13:55.6509748,0.955917022,0.51190798,1.000193607,0.381167227,1
20.09.2015,10:13:55.6556888,0.963214676,0.511979547,1.000248952,0.369117046,1
20.09.2015,10:13:55.6605232,0.95581982,0.511990072,1.000138262,0.37050876,1
20.09.2015,10:13:55.6653312,0.96298536,0.511990072,1.000304296,0.37050876,1
20.09.2015,10:13:55.6700986,0.957170214,0.512028454,1.000138262,0.36620007,1
20.09.2015,10:13:55.6749482,0.962468668,0.511916273,1.000304296,0.381680973,1
20.09.2015,10:13:55.6797312,0.962284158,0.511916273,1.000193607,0.381680973,1
20.09.2015,10:13:55.6845350,0.956047369,0.511983629,1.000248952,0.369011613,1
20.09.2015,10:13:55.6892560,0.963566384,0.511945741,1.000248952,0.367345774,1
20.09.2015,10:13:55.6940510,0.954378243,0.512008458,1.000193607,0.36860394,1
20.09.2015,10:13:55.6989146,0.962658036,0.512008458,1.000304296,0.36860394,1
20.09.2015,10:13:55.7037298,0.959319608,0.511887968,1.000138262,0.380949599,1
20.09.2015,10:13:55.7085642,0.965009562,0.511895335,1.000359641,0.367254399,1
20.09.2015,10:13:55.7132826,0.961749144,0.511895335,1.000193607,0.367254399,1
20.09.2015,10:13:55.7180670,0.959443364,0.511987951,1.000359641,0.369004585,1
20.09.2015,10:13:55.7229574,0.96116621,0.512015825,1.000248952,0.369264652,1
20.09.2015,10:13:55.7277732,0.954371193,0.511978048,1.000304296,0.379358414,1
20.09.2015,10:13:55.7325088,0.963456985,0.511978048,1.000359641,0.379358414,1
20.09.2015,10:13:55.7372160,0.957139284,0.511939108,1.000248952,0.36946146,1
20.09.2015,10:13:55.7421372,0.962243599,0.512030671,1.000414986,0.370044856,1
20.09.2015,10:13:55.7469568,0.956654273,0.512049902,1.000304296,0.379654532,1
20.09.2015,10:13:55.7516842,0.960038718,0.512049902,1.000470331,0.379654532,1
20.09.2015,10:13:55.7564886,0.959772882,0.512022538,1.000304296,0.368466877,1
20.09.2015,10:13:55.7613090,0.958634363,0.511918346,1.000414986,0.368871036,1
20.09.2015,10:13:55.7660834,0.964138602,0.511918346,1.000359641,0.368871036,1
20.09.2015,10:13:55.7708926,0.95522441,0.511969517,1.000304296,0.36780265,1
20.09.2015,10:13:55.7757626,0.965691101,0.511898652,1.000359641,0.382005632,1
20.09.2015,10:13:55.7805054,0.958021291,0.51194496,1.000248952,0.368498507,1
20.09.2015,10:13:55.7852672,0.964195187,0.51194496,1.000414986,0.368498507,1
20.09.2015,10:13:55.7901268,0.962179899,0.511869183,1.000193607,0.368171665,1
20.09.2015,10:13:55.7949466,0.961073595,0.511955835,1.000414986,0.369563379,1
20.09.2015,10:13:55.7997678,0.962463986,0.511955835,1.000304296,0.369563379,1
20.09.2015,10:13:55.8044570,0.956686997,0.511904967,1.000359641,0.383554004,1
20.09.2015,10:13:55.8092334,0.964489498,0.51194496,1.000359641,0.366808066,1
20.09.2015,10:13:55.8140638,0.955755374,0.511997582,1.000304296,0.371355738,1
20.09.2015,10:13:55.8188160,0.963365639,0.511997582,1.000414986,0.371355738,1
20.09.2015,10:13:55.8238106,0.956635489,0.512054766,1.000248952,0.369710985,1
20.09.2015,10:13:55.8285198,0.960065542,0.512081045,1.000470331,0.380714132,1
20.09.2015,10:13:55.8332184,0.958323956,0.512081045,1.000304296,0.380714132,1
20.09.2015,10:13:55.8380702,0.955237762,0.512104199,1.000414986,0.368122463,1
20.09.2015,10:13:55.8428838,0.957180853,0.512213654,1.000359641,0.367848337,1
20.09.2015,10:13:55.8476730,0.947258655,0.512294852,1.000359641,0.3781347,1
20.09.2015,10:13:55.8524730,0.956017867,0.512294852,1.000414986,0.3781347,1
20.09.2015,10:13:55.8572772,0.952636341,0.512153824,1.000304296,0.365300376,1
20.09.2015,10:13:55.8620942,0.959768221,0.51211804,1.000470331,0.367106792,1
20.09.2015,10:13:55.8669034,0.955517903,0.51211804,1.000304296,0.367106792,1
20.09.2015,10:13:55.8717460,0.957052736,0.512127385,1.000470331,0.364593975,1
20.09.2015,10:13:55.8764890,0.956970254,0.512151926,1.000359641,0.380007732,1
20.09.2015,10:13:55.8812666,0.951242526,0.512143506,1.000414986,0.367338745,1
20.09.2015,10:13:55.8861074,0.958637679,0.512143506,1.000414986,0.367338745,1
20.09.2015,10:13:55.8909200,0.954004844,0.512019317,1.000359641,0.365950545,1
20.09.2015,10:13:55.8956308,0.960523856,0.512087392,1.000525676,0.366294959,1
20.09.2015,10:13:55.9005678,0.956601129,0.512003419,1.000359641,0.380143304,1
20.09.2015,10:13:55.9052976,0.961374119,0.512003419,1.000525676,0.380143304,1
20.09.2015,10:13:55.9100320,0.95784005,0.512050779,1.000359641,0.366270358,1
20.09.2015,10:13:55.9148808,0.957371764,0.512012891,1.000525676,0.366562056,1
20.09.2015,10:13:55.9197662,0.960779492,0.512012891,1.000414986,0.366562056,1
20.09.2015,10:13:55.9244926,0.953196353,0.512008458,1.000414986,0.369057301,1
20.09.2015,10:13:55.9293146,0.963825009,0.511943461,1.000470331,0.378762612,1
20.09.2015,10:13:55.9340534,0.957173581,0.511923464,1.000359641,0.368864007,1
20.09.2015,10:13:55.9389636,0.964150663,0.511923464,1.000525676,0.368864007,1
20.09.2015,10:13:55.9436970,0.957390067,0.51201608,1.000304296,0.369756673,1
20.09.2015,10:13:55.9484180,0.959330862,0.512043858,1.000525676,0.380442989,1
20.09.2015,10:13:55.9532930,0.958974974,0.512043858,1.000414986,0.380442989,1
20.09.2015,10:13:55.9580992,0.953219833,0.512084904,1.000470331,0.368150578,1
20.09.2015,10:13:55.9628458,0.961220712,0.512029124,1.000470331,0.367767505,1
20.09.2015,10:13:55.9677220,0.952185374,0.512080024,1.000414986,0.36610518,1
20.09.2015,10:13:55.9726324,0.960754806,0.512080024,1.000525676,0.36610518,1
20.09.2015,10:13:55.9772896,0.955274409,0.512042678,1.000414986,0.378894616,1
20.09.2015,10:13:55.9820996,0.959438262,0.512095301,1.000581021,0.369124075,1
20.09.2015,10:13:55.9869008,0.95622124,0.512095301,1.000470331,0.369124075,1
20.09.2015,10:13:55.9917094,0.956642533,0.512076357,1.000581021,0.365690477,1
20.09.2015,10:13:55.9965632,0.958354533,0.512093451,1.000470331,0.377924207,1
20.09.2015,10:13:56.0012996,0.953735755,0.511982944,1.000525676,0.367806164,1
20.09.2015,10:13:56.0060532,0.96247425,0.511982944,1.000581021,0.367806164,1
20.09.2015,10:13:56.0108154,0.956028122,0.511945055,1.000470331,0.366354704,1
20.09.2015,10:13:56.0157760,0.962497985,0.511984251,1.000581021,0.368417675,1
20.09.2015,10:13:56.0205262,0.958713889,0.511933877,1.000470331,0.381484751,1
20.09.2015,10:13:56.0252730,0.962047591,0.511933877,1.000581021,0.381484751,1
20.09.2015,10:13:56.0300462,0.960854385,0.511942297,1.000470331,0.367577726,1
20.09.2015,10:13:56.0349786,0.959146776,0.511872835,1.000525676,0.367946741,1
20.09.2015,10:13:56.0397248,0.964562021,0.511872835,1.000525676,0.367946741,1
20.09.2015,10:13:56.0445474,0.956348242,0.511895845,1.000470331,0.370304924,1
20.09.2015,10:13:56.0492150,0.96596967,0.511866648,1.000581021,0.380492936,1
20.09.2015,10:13:56.0541754,0.957333817,0.511944529,1.000470331,0.367999458,1
20.09.2015,10:13:56.0588916,0.963503034,0.511944529,1.000636366,0.367999458,1
20.09.2015,10:13:56.0637178,0.958101481,0.512018201,1.000414986,0.370188947,1
20.09.2015,10:13:56.0685370,0.958426058,0.512047048,1.000581021,0.380492936,1
20.09.2015,10:13:56.0732980,0.959431461,0.512047048,1.000470331,0.380492936,1
20.09.2015,10:13:56.0781078,0.955105625,0.511958642,1.000525676,0.368695315,1
20.09.2015,10:13:56.0829482,0.963735352,0.511939698,1.000581021,0.368502021,1
20.09.2015,10:13:56.0877146,0.954830255,0.512000038,1.000525676,0.366881869,1
20.09.2015,10:13:56.0924554,0.962776387,0.512000038,1.000636366,0.366881869,1
20.09.2015,10:13:56.0972930,0.957745552,0.511977793,1.000525676,0.380442989,1
20.09.2015,10:13:56.1021268,0.960521489,0.512037783,1.000691711,0.370094058,1
20.09.2015,10:13:56.1069050,0.958574747,0.512037783,1.000525676,0.370094058,1
20.09.2015,10:13:56.1117814,0.956206209,0.512046203,1.000636366,0.366678032,1
20.09.2015,10:13:56.1164308,0.959598957,0.512073981,1.000581021,0.378252434,1
20.09.2015,10:13:56.1213286,0.953759569,0.512000309,1.000636366,0.368234924,1
20.09.2015,10:13:56.1261286,0.96260249,0.512000309,1.000691711,0.368234924,1
20.09.2015,10:13:56.1309554,0.958046901,0.511892959,1.000525676,0.365360121,1
20.09.2015,10:13:56.1356956,0.964351341,0.511916894,1.000747056,0.368196266,1
20.09.2015,10:13:56.1405434,0.960061092,0.511916894,1.000581021,0.368196266,1
20.09.2015,10:13:56.1452926,0.964455986,0.511821855,1.000691711,0.38182368,1
20.09.2015,10:13:56.1501510,0.964094375,0.511845009,1.000581021,0.367138422,1
20.09.2015,10:13:56.1549304,0.959080174,0.511843956,1.000636366,0.3693736,1
20.09.2015,10:13:56.1596878,0.965986186,0.511843956,1.000636366,0.3693736,1
20.09.2015,10:13:56.1645434,0.95700514,0.51190806,1.000525676,0.38431392,1
20.09.2015,10:13:56.1692830,0.966289413,0.511878592,1.000636366,0.368315756,1
20.09.2015,10:13:56.1741466,0.960740188,0.511845966,1.000525676,0.368066232,1
20.09.2015,10:13:56.1789164,0.966058654,0.511845966,1.000691711,0.368066232,1
20.09.2015,10:13:56.1837214,0.961489838,0.511924262,1.000525676,0.370951579,1
20.09.2015,10:13:56.1884560,0.960455054,0.511949935,1.000691711,0.380278875,1
20.09.2015,10:13:56.1933470,0.96298538,0.511949935,1.000636366,0.380278875,1
20.09.2015,10:13:56.1980838,0.95384128,0.512024659,1.000636366,0.369359542,1
20.09.2015,10:13:56.2029318,0.961730971,0.5120636,1.000691711,0.368951868,1
