date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_SM_iStatusSignals
20.09.2015,14:01:21.7221248,0.974137322,0.512142119,0.986302029,0.389026291,0.09251801,-0.000103126,0.091163038,34154
20.09.2015,14:01:21.7269702,1.035944108,0.511993707,0.986025304,0.397963859,0.092347418,-0.000103126,0.091059912,34154
20.09.2015,14:01:21.7315254,0.992778737,0.511987393,0.986246684,0.370986723,0.092347418,-0.000103126,0.090956786,34154
20.09.2015,14:01:21.7363258,1.011713658,0.511987393,0.986135994,0.370986723,0.092290554,-0.000103126,0.090956786,34154
20.09.2015,14:01:21.7413456,1.002316272,0.511886772,0.986191339,0.391424304,0.092631739,-0.000103126,0.091059912,34154
20.09.2015,14:01:21.7461984,0.97273843,0.511921024,0.986302029,0.370157266,0.092802331,-0.000206251,0.091369289,34154
20.09.2015,14:01:21.7507350,1.020212407,0.511947686,0.986135994,0.385844454,0.093143516,-0.000206251,0.09157554,34154
20.09.2015,14:01:21.7556598,0.952559099,0.511947686,0.986412719,0.385844454,0.093314109,-0.000206251,0.091884917,34154
20.09.2015,14:01:21.7605012,1.008455112,0.512022474,0.986191339,0.391880967,0.093712158,-0.000309377,0.092194294,34154
20.09.2015,14:01:21.7654006,0.960752207,0.512051385,0.986412719,0.370308438,0.093996479,-0.000412502,0.092400545,34154
20.09.2015,14:01:21.7702150,1.005381025,0.512051385,0.986191339,0.370308438,0.094167071,-0.000412502,0.092709922,34154
20.09.2015,14:01:21.7749142,0.959328479,0.512013146,0.986412719,0.377147518,0.094565121,-0.000515628,0.093019299,34154
20.09.2015,14:01:21.7796970,0.976234589,0.512012668,0.986302029,0.387311249,0.094678849,-0.000515628,0.09322555,34154
20.09.2015,14:01:21.7845718,0.99681916,0.511854417,0.986246684,0.396818634,0.094678849,-0.000515628,0.09322555,34154
20.09.2015,14:01:21.7893066,0.953134845,0.511854417,0.986412719,0.396818634,0.094508256,-0.000412502,0.09322555,34154
20.09.2015,14:01:21.7939276,1.010536136,0.511780745,0.986191339,0.370796944,0.094451392,-0.000412502,0.093019299,34154
20.09.2015,14:01:21.7988898,0.958396682,0.511588147,0.986412719,0.378367026,0.0942808,-0.000412502,0.092916173,34154
20.09.2015,14:01:21.8037080,1.034026341,0.511588147,0.986080649,0.378367026,0.094223936,-0.000412502,0.092813047,34154
20.09.2015,14:01:21.8084750,0.971383887,0.51157169,0.986357374,0.381262916,0.094337664,-0.000412502,0.092813047,34154
20.09.2015,14:01:21.8131728,1.015494915,0.511668643,0.986135994,0.387061033,0.094451392,-0.000412502,0.092916173,34154
20.09.2015,14:01:21.8180180,1.009074585,0.511817916,0.986191339,0.393325876,0.094678849,-0.000412502,0.093019299,34154
20.09.2015,14:01:21.8229378,1.001167349,0.511817916,0.986191339,0.393325876,0.094849441,-0.000412502,0.09322555,34154
20.09.2015,14:01:21.8277142,1.020400451,0.51190527,0.986135994,0.370645823,0.095304355,-0.000412502,0.093534927,34154
20.09.2015,14:01:21.8323408,0.9919041,0.511879883,0.986246684,0.379748196,0.09564554,-0.000515628,0.093947429,34154
20.09.2015,14:01:21.8371744,1.044866926,0.511960045,0.986025304,0.386119858,0.096100453,-0.000515628,0.094359931,34154
20.09.2015,14:01:21.8421456,0.982818585,0.511960045,0.986302029,0.386119858,0.096612231,-0.000618754,0.094875559,34154
20.09.2015,14:01:21.8469222,1.038389919,0.511915842,0.986025304,0.385023356,0.097067144,-0.000618754,0.095391188,34154
20.09.2015,14:01:21.8515664,0.989067754,0.511829047,0.986246684,0.383793039,0.097351465,-0.000618754,0.095700564,34154
20.09.2015,14:01:21.8564538,1.006631722,0.511829047,0.986135994,0.383793039,0.097408329,-0.000515628,0.096009941,34154
20.09.2015,14:01:21.8614010,0.996728264,0.511696533,0.986191339,0.395009821,0.097578922,-0.000515628,0.096113067,34154
20.09.2015,14:01:21.8661420,0.978643892,0.511743182,0.986246684,0.371369227,0.097522058,-0.000618754,0.096113067,34154
20.09.2015,14:01:21.8710672,1.024128689,0.511813696,0.986080649,0.389890202,0.097522058,-0.000618754,0.096113067,34154
20.09.2015,14:01:21.8756564,0.955784184,0.511813696,0.986357374,0.389890202,0.097522058,-0.000618754,0.096113067,34154
20.09.2015,14:01:21.8805242,1.019074669,0.511991465,0.986080649,0.382324273,0.097635786,-0.000618754,0.096216192,34154
20.09.2015,14:01:21.8853148,0.960366334,0.51201321,0.986357374,0.383885799,0.097635786,-0.000618754,0.096216192,34154
20.09.2015,14:01:21.8901538,1.007641263,0.51201321,0.986135994,0.383885799,0.09769265,-0.000618754,0.096216192,34154
20.09.2015,14:01:21.8947280,0.961876849,0.512078956,0.986357374,0.378581406,0.097863243,-0.000721879,0.096319318,34154
20.09.2015,14:01:21.8997514,0.971741828,0.512088428,0.986302029,0.387838414,0.098033835,-0.000825005,0.096525569,34154
20.09.2015,14:01:21.9045194,1.003098893,0.512051608,0.986191339,0.382278586,0.098318156,-0.00092813,0.096628695,34154
20.09.2015,14:01:21.9091916,0.961375036,0.512051608,0.986357374,0.382278586,0.098488749,-0.00092813,0.096938072,34154
20.09.2015,14:01:21.9141218,1.014934904,0.511964494,0.986135994,0.382968905,0.098829934,-0.00092813,0.097144323,34154
20.09.2015,14:01:21.9189190,0.961822989,0.511772948,0.986357374,0.378367026,0.098829934,-0.000825005,0.097247448,34154
20.09.2015,14:01:21.9237454,1.037185551,0.511772948,0.986025304,0.378367026,0.098829934,-0.000825005,0.097350574,34154
20.09.2015,14:01:21.9284386,0.974356954,0.511791892,0.986302029,0.382138009,0.098773069,-0.000825005,0.097247448,34154
20.09.2015,14:01:21.9331948,1.018457351,0.511802576,0.986080649,0.388013603,0.098602477,-0.000825005,0.097144323,34154
20.09.2015,14:01:21.9380568,1.011899184,0.512056217,0.986135994,0.382138009,0.09837502,-0.000825005,0.096938072,34154
20.09.2015,14:01:21.9429360,1.004261599,0.512056217,0.986135994,0.382138009,0.098033835,-0.000825005,0.09673182,34154
20.09.2015,14:01:21.9475252,1.030882763,0.512086913,0.986025304,0.383479083,0.097806378,-0.000825005,0.096422444,34154
20.09.2015,14:01:21.9523860,0.987521364,0.512173868,0.986191339,0.380820097,0.097237737,-0.000721879,0.096009941,34154
