date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_SM_iStatusSignals
20.09.2015,10:59:05.2509466,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2556726,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2605204,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2653064,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2700736,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2748976,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2797162,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2845258,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2892684,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2940782,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.2989376,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3037076,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3085532,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3132992,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3181668,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3229236,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3276748,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3325228,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3373092,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3421206,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3468544,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3517520,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3564834,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3613028,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3660578,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3709002,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3756900,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3804788,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3852718,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3901120,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3948832,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.3997654,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4044574,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4092792,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4140162,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4189248,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4236544,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4284424,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4332142,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4380646,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4429012,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4476722,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4524130,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4572750,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4620810,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4669120,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4718360,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4764900,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4812520,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4860902,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4908894,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.4956196,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5005618,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5052740,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5100512,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5148392,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5197582,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5244906,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5293426,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5340142,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5389646,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5436902,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5484140,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5532964,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5580978,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5628914,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5676922,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5725698,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5772512,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5820952,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5869022,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5916192,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.5965676,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6012992,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6061376,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6108318,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6157716,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6205122,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6252768,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6300192,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6349624,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6397252,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6445164,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6492130,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6541638,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6588800,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6637390,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6685300,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6732530,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6780842,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6829340,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6876956,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6925542,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.6972852,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7020910,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7068154,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7117664,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7164266,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7213212,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7260274,4.48983717,0,0.020588315,0,34154
20.09.2015,10:59:05.7309704,4.48983717,0,0.020588315,0,34154
