date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_AVRSetpt_iSelInput
20.09.2015,10:54:10.9316394,0.933374724,0.513304871,1.000747056,0.373782132,1
20.09.2015,10:54:10.9365398,0.954685128,0.513304871,1.000636366,0.373782132,1
20.09.2015,10:54:10.9412900,0.943544697,0.513360651,1.000691711,0.368073261,1
20.09.2015,10:54:10.9459320,0.932199243,0.513333288,1.000747056,0.372287062,1
20.09.2015,10:54:10.9507652,0.948412294,0.51333139,1.000691711,0.363124944,1
20.09.2015,10:54:10.9557550,0.926016112,0.51333139,1.000802401,0.363124944,1
20.09.2015,10:54:10.9604890,0.961829103,0.513330338,1.000636366,0.360640242,1
20.09.2015,10:54:10.9652504,0.926280787,0.513291062,1.000802401,0.377656631,1
20.09.2015,10:54:10.9702668,0.956469942,0.513291062,1.000636366,0.377656631,1
20.09.2015,10:54:10.9749752,0.935651117,0.513185817,1.000747056,0.364903245,1
20.09.2015,10:54:10.9796978,0.945310282,0.513057418,1.000691711,0.371429541,1
20.09.2015,10:54:10.9844760,0.950273638,0.513154578,1.000691711,0.3693736,1
20.09.2015,10:54:10.9893236,0.934356399,0.513154578,1.000747056,0.3693736,1
20.09.2015,10:54:10.9941008,0.972750173,0.513232874,1.000581021,0.373571639,1
20.09.2015,10:54:10.9988814,0.937055838,0.513258133,1.000747056,0.367240341,1
20.09.2015,10:54:11.0037668,0.968192499,0.513258133,1.000581021,0.367240341,1
20.09.2015,10:54:11.0084856,0.943966427,0.513171832,1.000691711,0.371475229,1
20.09.2015,10:54:11.0132826,0.967687894,0.513105113,1.000581021,0.367233312,1
20.09.2015,10:54:11.0180192,0.945854767,0.513153526,1.000691711,0.364077354,1
20.09.2015,10:54:11.0229514,0.944108253,0.513153526,1.000691711,0.364077354,1
20.09.2015,10:54:11.0275498,0.973217884,0.513078562,1.000581021,0.37658276,1
20.09.2015,10:54:11.0324330,0.933893601,0.513056461,1.000747056,0.366164925,1
20.09.2015,10:54:11.0371482,0.969888558,0.512997523,1.000581021,0.370673939,1
20.09.2015,10:54:11.0421516,0.934528111,0.512997523,1.000747056,0.370673939,1
