date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_LHVG_iSelectedInput
20.09.2015,13:33:14.9756868,0.86448358,0.441587854,0.962337673,0.33570073,0.458552695,-0.181191694,0.402396123,1
20.09.2015,13:33:14.9804936,0.882501218,0.441577329,0.962282328,0.320298102,0.458723288,-0.181191694,0.402499249,1
20.09.2015,13:33:14.9852810,0.842528822,0.441514182,0.962448363,0.327597573,0.45860956,-0.181191694,0.402602374,1
20.09.2015,13:33:14.9901084,0.8850044,0.441557316,0.962282328,0.33128421,0.458837016,-0.181191694,0.402602374,1
20.09.2015,13:33:14.9948168,0.822641508,0.441557316,0.962559053,0.33128421,0.45889388,-0.181191694,0.4027055,1
20.09.2015,13:33:14.9997644,0.872204505,0.441530607,0.962337673,0.330070933,0.459007609,-0.181294819,0.402808625,1
20.09.2015,13:33:15.0044646,0.837979425,0.441475879,0.962503708,0.324835231,0.45929193,-0.181397945,0.402911751,1
20.09.2015,13:33:15.0092290,0.857093774,0.441475879,0.962393018,0.324835231,0.459235065,-0.181397945,0.403014877,1
20.09.2015,13:33:15.0140166,0.862197578,0.441520353,0.962393018,0.338365786,0.459348794,-0.181294819,0.403014877,1
20.09.2015,13:33:15.0189302,0.843411348,0.44156706,0.962448363,0.327804924,0.459064473,-0.181294819,0.403014877,1
20.09.2015,13:33:15.0236552,0.887948633,0.441479706,0.962282328,0.328493752,0.459235065,-0.181191694,0.402911751,1
20.09.2015,13:33:15.0284262,0.84351864,0.441479706,0.962448363,0.328493752,0.459121337,-0.181294819,0.402808625,1
20.09.2015,13:33:15.0332138,0.90928215,0.441386755,0.962171639,0.334509125,0.459178201,-0.181294819,0.402808625,1
20.09.2015,13:33:15.0380780,0.845656115,0.441364622,0.962448363,0.332115213,0.45929193,-0.181397945,0.402808625,1
20.09.2015,13:33:15.0429098,0.895974652,0.441364622,0.962226983,0.332115213,0.45929193,-0.181397945,0.402911751,1
20.09.2015,13:33:15.0477232,0.876346941,0.441479339,0.962337673,0.327393736,0.45929193,-0.181294819,0.402911751,1
20.09.2015,13:33:15.0525498,0.884072706,0.441710943,0.962282328,0.333178487,0.459007609,-0.181191694,0.402911751,1
20.09.2015,13:33:15.0572698,0.89004047,0.441723604,0.962282328,0.317549818,0.459178201,-0.181191694,0.402808625,1
20.09.2015,13:33:15.0620864,0.872559546,0.441723604,0.962337673,0.317549818,0.459007609,-0.181191694,0.402808625,1
20.09.2015,13:33:15.0669170,0.917462652,0.441712856,0.962171639,0.328376285,0.459121337,-0.181191694,0.402808625,1
20.09.2015,13:33:15.0718514,0.860838272,0.441636027,0.962393018,0.327766265,0.459178201,-0.181294819,0.402808625,1
20.09.2015,13:33:15.0765014,0.913188853,0.44168444,0.962171639,0.32952348,0.459178201,-0.181294819,0.402911751,1
20.09.2015,13:33:15.0812560,0.862160875,0.44168444,0.962393018,0.32952348,0.459121337,-0.181191694,0.402911751,1
20.09.2015,13:33:15.0860990,0.895962173,0.441751749,0.962226983,0.339232732,0.458950745,-0.181191694,0.402911751,1
20.09.2015,13:33:15.0909154,0.875186309,0.441738067,0.962337673,0.324227235,0.459007609,-0.181191694,0.402808625,1
20.09.2015,13:33:15.0956182,0.87625665,0.441738067,0.962282328,0.324227235,0.458837016,-0.181191694,0.402808625,1
20.09.2015,13:33:15.1005750,0.880154095,0.441742165,0.962282328,0.331968938,0.458950745,-0.181191694,0.4027055,1
20.09.2015,13:33:15.1052806,0.849629161,0.441574044,0.962393018,0.329639456,0.45889388,-0.181294819,0.4027055,1
20.09.2015,13:33:15.1100530,0.893063174,0.441456169,0.962226983,0.332978165,0.459064473,-0.181294819,0.402808625,1
20.09.2015,13:33:15.1148216,0.839374891,0.441456169,0.962448363,0.332978165,0.45889388,-0.181191694,0.402808625,1
20.09.2015,13:33:15.1197732,0.889244915,0.441338646,0.962226983,0.333206922,0.458837016,-0.181191694,0.402808625,1
20.09.2015,13:33:15.1245018,0.839916695,0.441333383,0.962448363,0.31877284,0.45889388,-0.181191694,0.4027055,1
20.09.2015,13:33:15.1293486,0.871434997,0.441333383,0.962282328,0.31877284,0.458780152,-0.181191694,0.4027055,1
20.09.2015,13:33:15.1340930,0.864016143,0.441329397,0.962337673,0.341897788,0.45889388,-0.181191694,0.402602374,1
20.09.2015,13:33:15.1389474,0.857689107,0.441383885,0.962337673,0.330739473,0.45889388,-0.181191694,0.4027055,1
20.09.2015,13:33:15.1436944,0.876538979,0.441508074,0.962282328,0.328557012,0.459121337,-0.181294819,0.4027055,1
20.09.2015,13:33:15.1485080,0.848324786,0.441508074,0.962393018,0.328557012,0.459007609,-0.181294819,0.4027055,1
20.09.2015,13:33:15.1533664,0.893068232,0.441500596,0.962226983,0.335015735,0.459064473,-0.181191694,0.402808625,1
20.09.2015,13:33:15.1581044,0.843019495,0.44151112,0.962448363,0.322115062,0.459121337,-0.181294819,0.402808625,1
20.09.2015,13:33:15.1628918,0.906667525,0.44151112,0.962171639,0.322115062,0.459235065,-0.181397945,0.402808625,1
20.09.2015,13:33:15.1676840,0.863035767,0.441512236,0.962393018,0.338847422,0.459348794,-0.181397945,0.402808625,1
20.09.2015,13:33:15.1725770,0.89742984,0.441700514,0.962226983,0.33565616,0.45929193,-0.18150107,0.402911751,1
20.09.2015,13:33:15.1772478,0.900515005,0.441828913,0.962226983,0.317577933,0.459462522,-0.18150107,0.402911751,1
20.09.2015,13:33:15.1821014,0.881781894,0.441828913,0.962282328,0.317577933,0.459235065,-0.181397945,0.402911751,1
20.09.2015,13:33:15.1869102,0.9143355,0.441846007,0.962171639,0.330609652,0.459235065,-0.181397945,0.402911751,1
20.09.2015,13:33:15.1916646,0.860288938,0.441776545,0.962393018,0.329375874,0.459064473,-0.181397945,0.402808625,1
20.09.2015,13:33:15.1965502,0.912669819,0.441767073,0.962171639,0.32816691,0.459121337,-0.181397945,0.4027055,1
20.09.2015,13:33:15.2013072,0.862669935,0.441767073,0.962393018,0.32816691,0.458950745,-0.181397945,0.4027055,1
20.09.2015,13:33:15.2061182,0.907517649,0.441683738,0.962171639,0.339411116,0.458837016,-0.181294819,0.4027055,1
20.09.2015,13:33:15.2109482,0.857873538,0.441851078,0.962393018,0.324301038,0.458950745,-0.181294819,0.402602374,1
20.09.2015,13:33:15.2157502,0.880704684,0.441851078,0.962282328,0.324301038,0.458780152,-0.181191694,0.4027055,1
20.09.2015,13:33:15.2205052,0.873679557,0.441828466,0.962337673,0.336303667,0.458837016,-0.181191694,0.402602374,1
20.09.2015,13:33:15.2253118,0.845756434,0.441933584,0.962448363,0.328641358,0.458723288,-0.181191694,0.4027055,1
20.09.2015,13:33:15.2300194,0.889533679,0.44186307,0.962282328,0.328202055,0.458950745,-0.181294819,0.4027055,1
20.09.2015,13:33:15.2349680,0.832264179,0.44186307,0.962503708,0.328202055,0.458837016,-0.181294819,0.4027055,1
20.09.2015,13:33:15.2397298,0.884774916,0.441835291,0.962282328,0.331626441,0.459007609,-0.181294819,0.402808625,1
20.09.2015,13:33:15.2445262,0.832973245,0.441794246,0.962503708,0.319430038,0.459064473,-0.181294819,0.402808625,1
