date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel
20.09.2015,10:10:55.0339950,0.96667869,0.512094759,0.990342209,0.366997845
20.09.2015,10:10:55.0389120,0.962321603,0.512214738,0.990176174,0.369401715
20.09.2015,10:10:55.0437574,0.96069072,0.512150539,0.990286864,0.364316335
20.09.2015,10:10:55.0483582,0.965822834,0.512150539,0.990286864,0.364316335
20.09.2015,10:10:55.0532624,0.95900812,0.512107293,0.990231519,0.378741206
20.09.2015,10:10:55.0581344,0.970750118,0.511983103,0.990342209,0.368842921
20.09.2015,10:10:55.0629268,0.96329736,0.512014677,0.990176174,0.363993008
20.09.2015,10:10:55.0676634,0.969666834,0.512014677,0.990397554,0.363993008
20.09.2015,10:10:55.0725406,0.964431828,0.512072657,0.990231519,0.367897539
20.09.2015,10:10:55.0773650,0.962681555,0.51217264,0.990397554,0.371433056
20.09.2015,10:10:55.0820844,0.964348723,0.51217264,0.990286864,0.371433056
20.09.2015,10:10:55.0868886,0.958521896,0.512103178,0.990342209,0.365792396
20.09.2015,10:10:55.0916752,0.968916047,0.512048403,0.990342209,0.378238163
20.09.2015,10:10:55.0964134,0.96190401,0.512032616,0.990286864,0.369412258
20.09.2015,10:10:55.1013200,0.969413981,0.512032616,0.990452899,0.369412258
20.09.2015,10:10:55.1060510,0.96329354,0.512065242,0.990286864,0.364797812
20.09.2015,10:10:55.1107354,0.96311134,0.512214738,0.990508244,0.368220867
20.09.2015,10:10:55.1157058,0.962106416,0.512214738,0.990342209,0.368220867
20.09.2015,10:10:55.1204776,0.958380906,0.512204214,0.990452899,0.369110017
20.09.2015,10:10:55.1251890,0.966083237,0.512126237,0.990397554,0.37467762
20.09.2015,10:10:55.1301856,0.961602984,0.511986261,0.990342209,0.365785367
20.09.2015,10:10:55.1348924,0.970288241,0.511986261,0.990452899,0.365785367
20.09.2015,10:10:55.1397180,0.964873579,0.5119389,0.990342209,0.368322785
20.09.2015,10:10:55.1445060,0.969645037,0.511987409,0.990508244,0.366484738
20.09.2015,10:10:55.1493608,0.96619124,0.511987409,0.990342209,0.366484738
20.09.2015,10:10:55.1541458,0.9639865,0.512083182,0.990508244,0.367338745
20.09.2015,10:10:55.1588824,0.966499799,0.512069372,0.990397554,0.380639211
20.09.2015,10:10:55.1637182,0.959066034,0.512057795,0.990397554,0.365082481
20.09.2015,10:10:55.1686388,0.968383282,0.512057795,0.990452899,0.365082481
20.09.2015,10:10:55.1734042,0.961633008,0.512031484,0.990342209,0.367331716
20.09.2015,10:10:55.1780806,0.969315446,0.512014772,0.990508244,0.369595009
20.09.2015,10:10:55.1829200,0.969357996,0.511812702,0.990342209,0.365075452
20.09.2015,10:10:55.1877818,0.966933693,0.512038979,0.990508244,0.365075452
20.09.2015,10:10:55.1926002,0.967992558,0.511976884,0.990397554,0.368502021
20.09.2015,10:10:55.1971834,0.96398395,0.511952997,0.990452899,0.381798706
20.09.2015,10:10:55.2020600,0.970500436,0.511952997,0.990452899,0.381798706
20.09.2015,10:10:55.2068388,0.962327164,0.511967731,0.990397554,0.366579628
20.09.2015,10:10:55.2117782,0.97055345,0.511991937,0.990563589,0.368252497
20.09.2015,10:10:55.2165424,0.961808056,0.512095811,0.990397554,0.369500119
20.09.2015,10:10:55.2213178,0.966972725,0.512095811,0.990618933,0.369500119
20.09.2015,10:10:55.2261168,0.965741512,0.512031612,0.990397554,0.365553414
20.09.2015,10:10:55.2308176,0.965659124,0.512006544,0.990563589,0.378687691
20.09.2015,10:10:55.2355370,0.968451705,0.512006544,0.990452899,0.378687691
20.09.2015,10:10:55.2404766,0.963887447,0.511882355,0.990508244,0.370069457
20.09.2015,10:10:55.2451830,0.970961347,0.511965499,0.990563589,0.365585044
20.09.2015,10:10:55.2500138,0.963036272,0.511988461,0.990452899,0.369426316
20.09.2015,10:10:55.2549172,0.970224457,0.511988461,0.990618933,0.369426316
20.09.2015,10:10:55.2597050,0.962291082,0.512124227,0.990397554,0.370027284
20.09.2015,10:10:55.2645282,0.967378278,0.512012668,0.990618933,0.366656945
20.09.2015,10:10:55.2694190,0.967389145,0.512012668,0.990452899,0.366656945
20.09.2015,10:10:55.2741216,0.963764708,0.511949106,0.990563589,0.378987376
20.09.2015,10:10:55.2789292,0.971982504,0.511898588,0.990563589,0.36940523
20.09.2015,10:10:55.2837184,0.963699347,0.511928057,0.990452899,0.367141937
20.09.2015,10:10:55.2886056,0.972428914,0.511928057,0.990618933,0.367141937
20.09.2015,10:10:55.2931852,0.963285509,0.512043189,0.990452899,0.368069746
20.09.2015,10:10:55.2980256,0.969346448,0.511988461,0.990674278,0.37168258
20.09.2015,10:10:55.3029356,0.96716445,0.511988461,0.990508244,0.37168258
20.09.2015,10:10:55.3078094,0.96742748,0.51192659,0.990618933,0.377924207
20.09.2015,10:10:55.3123238,0.972906403,0.511842394,0.990563589,0.367155994
20.09.2015,10:10:55.3171596,0.965941041,0.511818187,0.990563589,0.371612291
20.09.2015,10:10:55.3221662,0.975202527,0.511818187,0.990674278,0.371612291
20.09.2015,10:10:55.3270092,0.966560894,0.511871639,0.990563589,0.367029475
20.09.2015,10:10:55.3316646,0.973392413,0.511889531,0.990729623,0.370287351
20.09.2015,10:10:55.3363252,0.968921622,0.511889531,0.990563589,0.370287351
20.09.2015,10:10:55.3413450,0.970798286,0.511896053,0.990729623,0.383129451
20.09.2015,10:10:55.3462010,0.968150995,0.512016032,0.990618933,0.367416062
20.09.2015,10:10:55.3508356,0.962305389,0.512024452,0.990674278,0.367602327
20.09.2015,10:10:55.3556630,0.969811132,0.512024452,0.990674278,0.367602327
20.09.2015,10:10:55.3604942,0.95874788,0.512170535,0.990563589,0.370793429
20.09.2015,10:10:55.3653972,0.969390316,0.512066343,0.990674278,0.365500698
20.09.2015,10:10:55.3701686,0.963878388,0.512040079,0.990508244,0.377314134
20.09.2015,10:10:55.3749196,0.96849473,0.512040079,0.990729623,0.377314134
20.09.2015,10:10:55.3797152,0.967976033,0.51197588,0.990563589,0.369837504
20.09.2015,10:10:55.3845660,0.965081298,0.512020083,0.990674278,0.364899731
20.09.2015,10:10:55.3893482,0.969134631,0.512020083,0.990563589,0.364899731
20.09.2015,10:10:55.3939264,0.958125549,0.512150539,0.990563589,0.368491478
20.09.2015,10:10:55.3989268,0.967500121,0.512131595,0.990618933,0.369514177
20.09.2015,10:10:55.4037736,0.961973372,0.512067299,0.990508244,0.375405426
20.09.2015,10:10:55.4084712,0.968882989,0.512067299,0.990674278,0.375405426
20.09.2015,10:10:55.4131372,0.966911987,0.511967316,0.990563589,0.366815095
20.09.2015,10:10:55.4180052,0.968382161,0.511974684,0.990674278,0.370501732
20.09.2015,10:10:55.4229378,0.969335565,0.511974684,0.990563589,0.370501732
20.09.2015,10:10:55.4277424,0.960372973,0.512083182,0.990618933,0.366685061
20.09.2015,10:10:55.4323718,0.967277535,0.51212949,0.990618933,0.367180595
20.09.2015,10:10:55.4371740,0.959507321,0.512139313,0.990563589,0.381905737
20.09.2015,10:10:55.4421542,0.967405044,0.512139313,0.990729623,0.381905737
20.09.2015,10:10:55.4469336,0.960515683,0.512178253,0.990563589,0.364688865
20.09.2015,10:10:55.4515358,0.964861335,0.512181411,0.990729623,0.367201682
20.09.2015,10:10:55.4564266,0.96294436,0.512181411,0.990618933,0.367201682
20.09.2015,10:10:55.4613858,0.95836142,0.512267361,0.990729623,0.368305213
20.09.2015,10:10:55.4661424,0.96434969,0.512196847,0.990674278,0.362980852
20.09.2015,10:10:55.4710248,0.95747547,0.51215537,0.990618933,0.377649496
20.09.2015,10:10:55.4756732,0.966268844,0.51215537,0.990729623,0.377649496
20.09.2015,10:10:55.4805942,0.962345698,0.512035391,0.990563589,0.367950256
20.09.2015,10:10:55.4853082,0.967929906,0.512076437,0.990729623,0.364657235
20.09.2015,10:10:55.4901330,0.963632277,0.512076437,0.990563589,0.364657235
20.09.2015,10:10:55.4947358,0.963658282,0.512135804,0.990729623,0.366959186
20.09.2015,10:10:55.4997110,0.963207179,0.51218527,0.990618933,0.369809389
20.09.2015,10:10:55.5045472,0.959272811,0.512074778,0.990674278,0.376147503
20.09.2015,10:10:55.5091254,0.967658071,0.512074778,0.990674278,0.376147503
20.09.2015,10:10:55.5140886,0.963295248,0.511941117,0.990618933,0.366555027
20.09.2015,10:10:55.5189206,0.972021648,0.511907438,0.990729623,0.369552836
20.09.2015,10:10:55.5237584,0.965458448,0.511955835,0.990563589,0.365999747
20.09.2015,10:10:55.5283454,0.969778299,0.511955835,0.990729623,0.365999747
20.09.2015,10:10:55.5331656,0.965381559,0.51206108,0.990563589,0.368494992
20.09.2015,10:10:55.5380454,0.963442483,0.512031245,0.990674278,0.381745191
20.09.2015,10:10:55.5429322,0.968297268,0.512031245,0.990618933,0.381745191
20.09.2015,10:10:55.5475244,0.959393589,0.512065976,0.990618933,0.366600715
20.09.2015,10:10:55.5525016,0.968825284,0.512056504,0.990729623,0.367303601
20.09.2015,10:10:55.5573384,0.960466111,0.512120018,0.990563589,0.368371987
20.09.2015,10:10:55.5620742,0.96665048,0.512120018,0.990784968,0.368371987
20.09.2015,10:10:55.5668254,0.963623302,0.512086339,0.990618933,0.365061394
20.09.2015,10:10:55.5718772,0.96571534,0.512046697,0.990784968,0.379105109
20.09.2015,10:10:55.5765750,0.966868007,0.512046697,0.990674278,0.379105109
20.09.2015,10:10:55.5812866,0.961859679,0.511968815,0.990674278,0.369356028
20.09.2015,10:10:55.5860534,0.969082194,0.512025648,0.990674278,0.364650206
20.09.2015,10:10:55.5908616,0.959918176,0.512085287,0.990618933,0.368695315
20.09.2015,10:10:55.5956238,0.967845834,0.512085287,0.990729623,0.368695315
20.09.2015,10:10:55.6004918,0.960156605,0.51217685,0.990563589,0.368920238
20.09.2015,10:10:55.6052050,0.967442946,0.512030559,0.990729623,0.365177371
20.09.2015,10:10:55.6099348,0.966057247,0.512030559,0.990618933,0.365177371
20.09.2015,10:10:55.6149610,0.965751376,0.51191109,0.990729623,0.378330923
20.09.2015,10:10:55.6197386,0.972532109,0.511844786,0.990674278,0.368547709
20.09.2015,10:10:55.6245606,0.964363636,0.511865835,0.990618933,0.366846725
20.09.2015,10:10:55.6291352,0.97358999,0.511865835,0.990729623,0.366846725
20.09.2015,10:10:55.6340608,0.964457618,0.51195794,0.990563589,0.367570697
20.09.2015,10:10:55.6388628,0.971747832,0.511911792,0.990729623,0.384078453
20.09.2015,10:10:55.6437158,0.968204364,0.511911792,0.990618933,0.384078453
20.09.2015,10:10:55.6483364,0.967486592,0.511981253,0.990784968,0.36610518
20.09.2015,10:10:55.6533192,0.968966281,0.511973886,0.990674278,0.366706147
20.09.2015,10:10:55.6580512,0.960141288,0.512049503,0.990729623,0.369746129
20.09.2015,10:10:55.6629324,0.968890264,0.512049503,0.990729623,0.369746129
20.09.2015,10:10:55.6678510,0.962166668,0.512012668,0.990674278,0.366716691
20.09.2015,10:10:55.6726132,0.971649815,0.511946092,0.990840313,0.379722317
20.09.2015,10:10:55.6772602,0.96835509,0.511868211,0.990674278,0.369254109
20.09.2015,10:10:55.6821062,0.971795846,0.511868211,0.990840313,0.369254109
20.09.2015,10:10:55.6869152,0.969458607,0.51192399,0.990729623,0.367328202
20.09.2015,10:10:55.6917010,0.964710219,0.511978989,0.990784968,0.368189237
20.09.2015,10:10:55.6963572,0.970287753,0.511978989,0.990729623,0.368189237
20.09.2015,10:10:55.7013278,0.960053072,0.51207792,0.990729623,0.37199185
20.09.2015,10:10:55.7059440,0.971095474,0.511983199,0.990784968,0.365883771
20.09.2015,10:10:55.7108006,0.966133295,0.511906832,0.990618933,0.378587796
20.09.2015,10:10:55.7155338,0.972216768,0.511906832,0.990840313,0.378587796
20.09.2015,10:10:55.7204806,0.97022979,0.511847895,0.990618933,0.371208132
20.09.2015,10:10:55.7251770,0.969618032,0.511900518,0.990784968,0.366825638
20.09.2015,10:10:55.7300076,0.971419793,0.511900518,0.990674278,0.366825638
20.09.2015,10:10:55.7347374,0.961536571,0.5120053,0.990729623,0.369749644
20.09.2015,10:10:55.7397162,0.970880551,0.511986803,0.990729623,0.383075935
20.09.2015,10:10:55.7444468,0.960095155,0.512127831,0.990674278,0.366562056
20.09.2015,10:10:55.7491966,0.967769221,0.512127831,0.990840313,0.366562056
20.09.2015,10:10:55.7540736,0.962267617,0.512128884,0.990674278,0.367328202
20.09.2015,10:10:55.7588842,0.9620465,0.512273676,0.990840313,0.370241664
20.09.2015,10:10:55.7637674,0.961241302,0.512273676,0.990674278,0.370241664
20.09.2015,10:10:55.7685670,0.960776201,0.512128437,0.990784968,0.365237116
20.09.2015,10:10:55.7733356,0.968864325,0.512036491,0.990784968,0.376671952
20.09.2015,10:10:55.7781128,0.962725301,0.511975449,0.990729623,0.370220577
