date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel
20.09.2015,14:04:17.2317510,1.536175689,0.810619981,1.028198142,0.593847259,0.367683746,0.370014682,0.077034829
20.09.2015,14:04:17.2364406,1.516259134,0.810597879,1.028308832,0.599080245,0.367797474,0.369911556,0.07724108
20.09.2015,14:04:17.2413244,1.513289901,0.810452577,1.028308832,0.621643044,0.367683746,0.369911556,0.077447332
20.09.2015,14:04:17.2460442,1.548561355,0.810531511,1.028142797,0.613215282,0.36774061,0.369911556,0.077550457
20.09.2015,14:04:17.2509738,1.492395519,0.810531511,1.028419522,0.613215282,0.368081795,0.370014682,0.077756709
20.09.2015,14:04:17.2556822,1.555956829,0.8106557,1.028087452,0.591731572,0.368024931,0.370117808,0.077859834
20.09.2015,14:04:17.2605258,1.528713129,0.81078925,1.028253487,0.612834445,0.368024931,0.370117808,0.077859834
20.09.2015,14:04:17.2653192,1.566684381,0.810811351,1.028032107,0.60675576,0.367968067,0.370220933,0.077756709
20.09.2015,14:04:17.2700860,1.548299964,0.810811351,1.028142797,0.60675576,0.367968067,0.370220933,0.077756709
20.09.2015,14:04:17.2748948,1.558696225,0.810728208,1.028032107,0.600700397,0.367797474,0.370117808,0.077756709
20.09.2015,14:04:17.2797220,1.592981342,0.810544906,1.027921417,0.608481345,0.367683746,0.370014682,0.077756709
20.09.2015,14:04:17.2845328,1.541393664,0.810544906,1.028142797,0.608481345,0.36774061,0.370014682,0.077859834
20.09.2015,14:04:17.2892696,1.585243097,0.810527811,1.027921417,0.606715876,0.367683746,0.370014682,0.077859834
20.09.2015,14:04:17.2941344,1.549554125,0.810634109,1.028142797,0.598257869,0.367626882,0.369911556,0.077756709
20.09.2015,14:04:17.2989852,1.604558342,0.810825655,1.027866073,0.608938221,0.367570018,0.370014682,0.077756709
20.09.2015,14:04:17.3037242,1.551137347,0.810825655,1.028142797,0.608938221,0.368024931,0.370117808,0.077756709
20.09.2015,14:04:17.3085688,1.578710612,0.810963782,1.027921417,0.617028438,0.368081795,0.370324059,0.077653583
20.09.2015,14:04:17.3132870,1.588112322,0.81111197,1.027921417,0.605930987,0.368138659,0.37053031,0.077447332
20.09.2015,14:04:17.3180640,1.562878869,0.81111197,1.027976762,0.605930987,0.368252388,0.370736561,0.07724108
20.09.2015,14:04:17.3229552,1.558284853,0.811226687,1.027976762,0.604541669,0.368138659,0.370633436,0.077034829
20.09.2015,14:04:17.3277596,1.520394833,0.811183537,1.028198142,0.60919126,0.367854339,0.370427184,0.076931704
20.09.2015,14:04:17.3324874,1.572505943,0.811168579,1.027976762,0.611649976,0.367797474,0.370324059,0.076931704
20.09.2015,14:04:17.3372120,1.505328249,0.811168579,1.028308832,0.611649976,0.368081795,0.370324059,0.076931704
20.09.2015,14:04:17.3421380,1.545457998,0.810903361,1.028087452,0.605750633,0.368024931,0.370427184,0.076828578
20.09.2015,14:04:17.3469574,1.519804037,0.810888627,1.028253487,0.597143794,0.368024931,0.370427184,0.076622327
20.09.2015,14:04:17.3516886,1.530299121,0.810888627,1.028142797,0.597143794,0.368081795,0.37053031,0.07631295
20.09.2015,14:04:17.3564942,1.511592018,0.810848028,1.028253487,0.614004644,0.368138659,0.37053031,0.076106699
20.09.2015,14:04:17.3613088,1.510429032,0.811095354,1.028253487,0.613159051,0.367854339,0.370427184,0.075900448
20.09.2015,14:04:17.3660910,1.56119824,0.811300582,1.028032107,0.617541545,0.36774061,0.370427184,0.075694196
20.09.2015,14:04:17.3709840,1.496770144,0.811300582,1.028364177,0.617541545,0.36774061,0.370324059,0.075591071
20.09.2015,14:04:17.3756886,1.544932487,0.811249299,1.028142797,0.602869919,0.367513154,0.370117808,0.075591071
20.09.2015,14:04:17.3804888,1.516103132,0.811037756,1.028364177,0.598018887,0.367342561,0.370117808,0.07538482
