date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_LHVG_iSelectedInput
20.09.2015,13:19:21.6956112,0.904655919,0.446541347,0.974181489,0.350317509,0.190381253,-0.080747351,0.166547857,1
20.09.2015,13:19:21.7005494,0.899481512,0.446611861,0.974236834,0.332345567,0.190836166,-0.080850477,0.16696036,1
20.09.2015,13:19:21.7052576,0.873069322,0.446644965,0.974347523,0.339522033,0.190836166,-0.080953602,0.167166611,1
20.09.2015,13:19:21.7100406,0.924586571,0.446598562,0.974181489,0.340404155,0.191063623,-0.081056728,0.167269736,1
20.09.2015,13:19:21.7148266,0.862668987,0.446598562,0.974458213,0.340404155,0.191006759,-0.081262979,0.167372862,1
20.09.2015,13:19:21.7197754,0.907263424,0.44651309,0.974292179,0.348419504,0.191006759,-0.081262979,0.167372862,1
20.09.2015,13:19:21.7244578,0.862899831,0.446442576,0.974513558,0.321978,0.190949895,-0.081366105,0.167166611,1
20.09.2015,13:19:21.7292754,0.895568267,0.446442576,0.974347523,0.321978,0.190779302,-0.081366105,0.167166611,1
20.09.2015,13:19:21.7340166,0.86055342,0.446601161,0.974513558,0.345925697,0.190779302,-0.081366105,0.167166611,1
20.09.2015,13:19:21.7389658,0.869665109,0.44669821,0.974458213,0.336018147,0.190381253,-0.081159854,0.16696036,1
20.09.2015,13:19:21.7436538,0.890978688,0.44676241,0.974402868,0.330690271,0.190438117,-0.081159854,0.166857234,1
20.09.2015,13:19:21.7484904,0.832363578,0.44676241,0.974624248,0.330690271,0.190494981,-0.081159854,0.166857234,1
20.09.2015,13:19:21.7533150,0.902231896,0.446621381,0.974347523,0.345265676,0.190779302,-0.081159854,0.167063485,1
20.09.2015,13:19:21.7580950,0.833103066,0.44658244,0.974624248,0.325478372,0.190949895,-0.080953602,0.167372862,1
20.09.2015,13:19:21.7628762,0.903768108,0.44658244,0.974292179,0.325478372,0.191234216,-0.080747351,0.167682239,1
20.09.2015,13:19:21.7676980,0.852922895,0.446542447,0.974513558,0.336081406,0.191461672,-0.080644226,0.167991616,1
20.09.2015,13:19:21.7726496,0.876736002,0.44670057,0.974347523,0.35766336,0.192087178,-0.080644226,0.168507244,1
20.09.2015,13:19:21.7772980,0.880782882,0.446847913,0.974347523,0.340548247,0.19265582,-0.080747351,0.169022872,1
20.09.2015,13:19:21.7820898,0.851263643,0.446847913,0.974458213,0.340548247,0.192883277,-0.080747351,0.1695385,1
20.09.2015,13:19:21.7869220,0.904659089,0.446991461,0.974236834,0.33774501,0.193679375,-0.080747351,0.169951002,1
20.09.2015,13:19:21.7916896,0.862383579,0.447139937,0.974402868,0.335807281,0.193565647,-0.080644226,0.170363505,1
20.09.2015,13:19:21.7964210,0.935374654,0.44707679,0.974070799,0.337947569,0.193906832,-0.0805411,0.170569756,1
20.09.2015,13:19:21.8013604,0.864777777,0.44707679,0.974347523,0.337947569,0.194248017,-0.0805411,0.170776007,1
20.09.2015,13:19:21.8061088,0.905477494,0.446886934,0.974181489,0.33645745,0.194759794,-0.080747351,0.17118851,1
20.09.2015,13:19:21.8108178,0.868283821,0.446713885,0.974402868,0.348954656,0.195157844,-0.081056728,0.171601012,1
20.09.2015,13:19:21.8156838,0.875806274,0.446713885,0.974402868,0.348954656,0.195442164,-0.081366105,0.171910389,1
20.09.2015,13:19:21.8205696,0.883042359,0.446632846,0.974458213,0.325337794,0.195669621,-0.081572356,0.172013514,1
20.09.2015,13:19:21.8253000,0.871651502,0.446654948,0.974513558,0.328040391,0.195669621,-0.081572356,0.17211664,1
20.09.2015,13:19:21.8300210,0.929452183,0.44669341,0.974292179,0.347063786,0.195840214,-0.081572356,0.172219766,1
20.09.2015,13:19:21.8348432,0.843900424,0.44669341,0.974624248,0.347063786,0.195953942,-0.08146923,0.172529142,1
20.09.2015,13:19:21.8397754,0.922254997,0.446773396,0.974292179,0.337374716,0.196351991,-0.081366105,0.172838519,1
20.09.2015,13:19:21.8444972,0.855762122,0.446902689,0.974568903,0.331947532,0.19606767,-0.081159854,0.17304477,1
20.09.2015,13:19:21.8492746,0.914547754,0.446902689,0.974292179,0.331947532,0.196124535,-0.081056728,0.172941645,1
20.09.2015,13:19:21.8541364,0.877055082,0.446796263,0.974458213,0.337838621,0.19606767,-0.081159854,0.172941645,1
