date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_PSS_VSL
20.09.2015,13:38:01.9629376,1.21032286,0.634496879,0.987076858,0.482906722,0.616009592,0.01010631,0.607822334,0
20.09.2015,13:38:01.9676762,1.258188904,0.634514771,0.986855478,0.459662815,0.61612332,0.01010631,0.607822334,0
20.09.2015,13:38:01.9725254,1.212521537,0.634364685,0.987076858,0.478165276,0.616066456,0.01010631,0.607822334,0
20.09.2015,13:38:01.9773018,1.261982116,0.634377474,0.986855478,0.470174475,0.616009592,0.010312561,0.607822334,0
20.09.2015,13:38:01.9821044,1.231510985,0.634377474,0.987021513,0.470174475,0.61612332,0.010312561,0.607822334,0
20.09.2015,13:38:01.9868608,1.249602794,0.634433254,0.986910823,0.4638239,0.616009592,0.010415686,0.607822334,0
20.09.2015,13:38:01.9916900,1.259428378,0.634559325,0.986910823,0.480006199,0.61612332,0.010312561,0.607822334,0
20.09.2015,13:38:01.9964172,1.238825189,0.634559325,0.986966168,0.480006199,0.616009592,0.010312561,0.60792546,0
20.09.2015,13:38:02.0013146,1.265781775,0.634689829,0.986855478,0.459954513,0.616180184,0.010209435,0.60792546,0
20.09.2015,13:38:02.0060776,1.231097366,0.634690881,0.987021513,0.466371862,0.615952728,0.010209435,0.60792546,0
20.09.2015,13:38:02.0108528,1.279447055,0.634588315,0.986800133,0.473958983,0.615895864,0.010209435,0.607822334,0
20.09.2015,13:38:02.0156242,1.221041395,0.634588315,0.987076858,0.473958983,0.615838999,0.010209435,0.607719209,0
20.09.2015,13:38:02.0205450,1.265284588,0.634535693,0.986855478,0.471882488,0.615725271,0.010209435,0.607719209,0
20.09.2015,13:38:02.0252592,1.235375726,0.634530159,0.987021513,0.469092669,0.615725271,0.01010631,0.607616083,0
20.09.2015,13:38:02.0300476,1.240343269,0.634530159,0.986966168,0.469092669,0.615554678,0.01010631,0.607616083,0
20.09.2015,13:38:02.0348498,1.236749795,0.63450624,0.987021513,0.469053372,0.615782135,0.01010631,0.607616083,0
20.09.2015,13:38:02.0397312,1.221560871,0.634460984,0.987076858,0.46779872,0.615554678,0.010209435,0.607616083,0
20.09.2015,13:38:02.0444560,1.24951985,0.634451369,0.986966168,0.47474744,0.615611543,0.010209435,0.607616083,0
20.09.2015,13:38:02.0492654,1.190748154,0.634451369,0.987242893,0.47474744,0.615497814,0.010312561,0.607512958,0
20.09.2015,13:38:02.0541372,1.240092291,0.634351386,0.987021513,0.467341844,0.615554678,0.010312561,0.607512958,0
20.09.2015,13:38:02.0589222,1.212399126,0.634270347,0.987187548,0.456823156,0.615497814,0.010209435,0.607409832,0
20.09.2015,13:38:02.0636538,1.239798092,0.634270347,0.987021513,0.456823156,0.615497814,0.010209435,0.607512958,0
20.09.2015,13:38:02.0685120,1.207905642,0.634234022,0.987187548,0.475810609,0.615725271,0.010209435,0.607512958,0
20.09.2015,13:38:02.0733718,1.226477595,0.634185609,0.987076858,0.463535717,0.615497814,0.010209435,0.607512958,0
20.09.2015,13:38:02.0781286,1.229483162,0.634170874,0.987076858,0.469629738,0.615611543,0.010209435,0.607512958,0
20.09.2015,13:38:02.0828912,1.206634621,0.634170874,0.987187548,0.469629738,0.615327222,0.010312561,0.607409832,0
20.09.2015,13:38:02.0877056,1.252484531,0.634146301,0.986966168,0.470537579,0.61544095,0.010209435,0.607306706,0
20.09.2015,13:38:02.0924452,1.218623412,0.634270491,0.987132203,0.465676005,0.615270358,0.010209435,0.607203581,0
20.09.2015,13:38:02.0972678,1.26512293,0.634298413,0.986910823,0.479995496,0.615327222,0.010209435,0.607203581,0
20.09.2015,13:38:02.1021112,1.219460144,0.634298413,0.987132203,0.479995496,0.615327222,0.010209435,0.607100455,0
20.09.2015,13:38:02.1069212,1.248648779,0.634236589,0.986966168,0.466371862,0.615099765,0.010312561,0.607100455,0
20.09.2015,13:38:02.1116136,1.25849566,0.634326382,0.986966168,0.476417114,0.615042901,0.010415686,0.606894204,0
20.09.2015,13:38:02.1164740,1.247397587,0.634326382,0.986966168,0.476417114,0.614701716,0.010518812,0.606687953,0
20.09.2015,13:38:02.1213708,1.261107433,0.634290041,0.986910823,0.45945195,0.614815444,0.010415686,0.606584827,0
20.09.2015,13:38:02.1261210,1.239200507,0.634373184,0.987021513,0.467327787,0.614474259,0.010415686,0.606481701,0
20.09.2015,13:38:02.1309254,1.277494312,0.634426604,0.986855478,0.470990675,0.614531123,0.010415686,0.606481701,0
20.09.2015,13:38:02.1357162,1.21863525,0.634426604,0.987132203,0.470990675,0.614474259,0.010312561,0.606378576,0
20.09.2015,13:38:02.1405248,1.265790013,0.634293995,0.986910823,0.472838413,0.614360531,0.010312561,0.606378576,0
20.09.2015,13:38:02.1452954,1.238430614,0.634204537,0.987076858,0.456201102,0.614303667,0.010312561,0.60627545,0
20.09.2015,13:38:02.1500926,1.242315969,0.634204537,0.987021513,0.456201102,0.614189938,0.010312561,0.60627545,0
20.09.2015,13:38:02.1549492,1.236837242,0.634040004,0.987076858,0.479042925,0.614417395,0.010209435,0.60627545,0
20.09.2015,13:38:02.1596844,1.218433546,0.634142091,0.987132203,0.465936073,0.614246802,0.01010631,0.606378576,0
20.09.2015,13:38:02.1644862,1.24625156,0.6342747,0.987021513,0.461567636,0.614531123,0.010003184,0.606481701,0
20.09.2015,13:38:02.1693232,1.195190715,0.6342747,0.987242893,0.461567636,0.614417395,0.010003184,0.606481701,0
20.09.2015,13:38:02.1741634,1.244897635,0.634228759,0.987021513,0.471586477,0.614474259,0.010003184,0.606481701,0
20.09.2015,13:38:02.1788614,1.202276992,0.634198238,0.987242893,0.459768248,0.614360531,0.010003184,0.606378576,0
20.09.2015,13:38:02.1836986,1.234128975,0.634097203,0.987076858,0.464554902,0.614189938,0.009900058,0.606378576,0
20.09.2015,13:38:02.1885268,1.205133206,0.634097203,0.987242893,0.464554902,0.614303667,0.009796933,0.60627545,0
20.09.2015,13:38:02.1932668,1.211064319,0.633883523,0.987187548,0.472367799,0.61407621,0.009796933,0.606172325,0
20.09.2015,13:38:02.1981334,1.229684394,0.633949828,0.987132203,0.468403202,0.614246802,0.009693807,0.606172325,0
20.09.2015,13:38:02.2028954,1.203633522,0.633949828,0.987242893,0.468403202,0.61407621,0.009796933,0.606172325,0
20.09.2015,13:38:02.2077106,1.2298471,0.63392763,0.987132203,0.467458673,0.614189938,0.009796933,0.606069199,0
20.09.2015,13:38:02.2124154,1.201914223,0.634008605,0.987298238,0.464495156,0.613905617,0.009796933,0.605966073,0
20.09.2015,13:38:02.2173784,1.249057939,0.633859157,0.987076858,0.461936651,0.613905617,0.009796933,0.605966073,0
20.09.2015,13:38:02.2220932,1.208645772,0.633859157,0.987298238,0.461936651,0.613962482,0.009693807,0.605862948,0
20.09.2015,13:38:02.2268186,1.250169501,0.63373095,0.987076858,0.47090505,0.613905617,0.009590682,0.605862948,0
20.09.2015,13:38:02.2316106,1.231945896,0.633548875,0.987187548,0.45688993,0.61407621,0.009487556,0.605862948,0
20.09.2015,13:38:02.2365742,1.23806938,0.633548875,0.987132203,0.45688993,0.613905617,0.009487556,0.605966073,0
20.09.2015,13:38:02.2412786,1.253481077,0.633402473,0.987076858,0.471561503,0.61407621,0.00938443,0.605966073,0
20.09.2015,13:38:02.2460714,1.229729913,0.633265558,0.987187548,0.464175343,0.613791889,0.00938443,0.605966073,0
20.09.2015,13:38:02.2508118,1.267743524,0.633146631,0.987021513,0.455368182,0.613848753,0.00938443,0.605862948,0
20.09.2015,13:38:02.2557662,1.221273883,0.633146631,0.987242893,0.455368182,0.613735025,0.009281305,0.605759822,0
20.09.2015,13:38:02.2605000,1.265454917,0.63314569,0.987021513,0.468782761,0.613735025,0.009281305,0.605759822,0
20.09.2015,13:38:02.2653148,1.222926864,0.633117003,0.987242893,0.466980604,0.613791889,0.009178179,0.605759822,0
20.09.2015,13:38:02.2702198,1.238065799,0.633117003,0.987132203,0.466980604,0.613621297,0.009281305,0.605862948,0
20.09.2015,13:38:02.2748644,1.232729834,0.633213095,0.987187548,0.478258036,0.613791889,0.009281305,0.605759822,0
20.09.2015,13:38:02.2796848,1.211689454,0.633178364,0.987242893,0.465071523,0.613507568,0.009487556,0.605759822,0
20.09.2015,13:38:02.2845364,1.239695568,0.633163901,0.987132203,0.459842051,0.613678161,0.009487556,0.605656697,0
20.09.2015,13:38:02.2892906,1.20447414,0.633163901,0.987298238,0.459842051,0.613450704,0.009487556,0.605759822,0
20.09.2015,13:38:02.2941372,1.236911697,0.633286767,0.987132203,0.469374516,0.613678161,0.00938443,0.605656697,0
20.09.2015,13:38:02.2989376,1.191665032,0.633250984,0.987353582,0.45855577,0.613678161,0.009281305,0.605759822,0
20.09.2015,13:38:02.3037544,1.237604765,0.633288872,0.987132203,0.464597075,0.613678161,0.00938443,0.605862948,0
20.09.2015,13:38:02.3084276,1.192729961,0.633288872,0.987353582,0.464597075,0.613962482,0.009281305,0.605862948,0
