date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_LHVG_iSelectedInput
20.09.2015,13:23:01.7420996,0.873790041,0.460308855,0.974513558,0.337701558,0.193736239,-0.075075443,0.17304477,1
20.09.2015,13:23:01.7468200,0.94228493,0.460137082,0.974236834,0.346971027,0.193736239,-0.075075443,0.17304477,1
20.09.2015,13:23:01.7516086,0.881109391,0.460117085,0.974458213,0.339652067,0.193679375,-0.075075443,0.17304477,1
20.09.2015,13:23:01.7564940,0.940458049,0.460117085,0.974181489,0.339652067,0.193565647,-0.074972317,0.172941645,1
20.09.2015,13:23:01.7612874,0.903948946,0.46014472,0.974347523,0.360114355,0.193224462,-0.074972317,0.172632268,1
20.09.2015,13:23:01.7660720,0.922705886,0.460441735,0.974236834,0.351963114,0.192712684,-0.074869192,0.172322891,1
20.09.2015,13:23:01.7710578,0.907437912,0.460479623,0.974347523,0.336882696,0.192371499,-0.074869192,0.171910389,1
20.09.2015,13:23:01.7756744,0.906933227,0.460479623,0.974347523,0.336882696,0.191802857,-0.074869192,0.171394761,1
20.09.2015,13:23:01.7804934,0.941952557,0.460526633,0.974236834,0.343988447,0.191575401,-0.074972317,0.170879133,1
20.09.2015,13:23:01.7853426,0.890158502,0.460365608,0.974458213,0.345710944,0.191404808,-0.075075443,0.170672881,1
20.09.2015,13:23:01.7901054,0.941811206,0.460405601,0.974236834,0.343335189,0.191404808,-0.075075443,0.170672881,1
20.09.2015,13:23:01.7948780,0.892803302,0.460405601,0.974458213,0.343335189,0.191347944,-0.074972317,0.170569756,1
20.09.2015,13:23:01.7997220,0.952814173,0.460297693,0.974181489,0.354145629,0.191177351,-0.074766066,0.170569756,1
20.09.2015,13:23:01.8045418,0.887145214,0.460378588,0.974458213,0.349964309,0.19129108,-0.07466294,0.170569756,1
20.09.2015,13:23:01.8092218,0.918126672,0.460378588,0.974292179,0.349964309,0.191347944,-0.07466294,0.170672881,1
20.09.2015,13:23:01.8141706,0.919020139,0.460511197,0.974292179,0.342410894,0.191404808,-0.074559815,0.170776007,1
20.09.2015,13:23:01.8189254,0.885094121,0.460533936,0.974402868,0.34653332,0.191461672,-0.074559815,0.170982258,1
20.09.2015,13:23:01.8237280,0.925728177,0.460369897,0.974236834,0.343753407,0.191689129,-0.074559815,0.171085384,1
20.09.2015,13:23:01.8284296,0.869268268,0.460369897,0.974458213,0.343753407,0.191575401,-0.074559815,0.171085384,1
20.09.2015,13:23:01.8333768,0.92464914,0.460174906,0.974236834,0.349721707,0.191632265,-0.074559815,0.171085384,1
20.09.2015,13:23:01.8380762,0.859115664,0.460118074,0.974513558,0.335252001,0.191575401,-0.07466294,0.171085384,1
20.09.2015,13:23:01.8429484,0.905627867,0.460118074,0.974292179,0.335252001,0.191575401,-0.07466294,0.171085384,1
20.09.2015,13:23:01.8476252,0.898596602,0.460130401,0.974347523,0.36141299,0.191689129,-0.07466294,0.170982258,1
20.09.2015,13:23:01.8525734,0.89112767,0.460169628,0.974347523,0.347967208,0.191632265,-0.07466294,0.170982258,1
20.09.2015,13:23:01.8572528,0.909000857,0.460296975,0.974292179,0.34425597,0.191916586,-0.07466294,0.171085384,1
20.09.2015,13:23:01.8621320,0.877888048,0.460296975,0.974402868,0.34425597,0.191916586,-0.07466294,0.171291635,1
20.09.2015,13:23:01.8669164,0.947397955,0.460357874,0.974126144,0.351637551,0.191859721,-0.074456689,0.171291635,1
20.09.2015,13:23:01.8716614,0.8874428,0.460401024,0.974347523,0.340801285,0.191802857,-0.074353563,0.171394761,1
20.09.2015,13:23:01.8764432,0.95795099,0.460401024,0.974015454,0.340801285,0.19197345,-0.074147312,0.171497886,1
20.09.2015,13:23:01.8813002,0.912002422,0.460467329,0.974181489,0.35029376,0.192144042,-0.074044187,0.171601012,1
20.09.2015,13:23:01.8861034,0.938562392,0.46060622,0.974015454,0.360874271,0.192485227,-0.074147312,0.171910389,1
20.09.2015,13:23:01.8908582,0.921926999,0.460738829,0.974126144,0.346635239,0.192940141,-0.074250438,0.172219766,1
20.09.2015,13:23:01.8956384,0.907550318,0.460738829,0.974181489,0.346635239,0.193110733,-0.074456689,0.172426017,1
20.09.2015,13:23:01.9005470,0.941144309,0.460831413,0.974126144,0.349386345,0.193224462,-0.074559815,0.172632268,1
